passage,predicted_words,ground_truth,precision,recall,f1,raw_output
"alexander 's guests , parties and diplomatic visits to istanbul regularly interfered with the crew 's duties , but he personally managed the repairs and alterations of the ship 's equipment . shipyards and contractors treated rostislav as a priority customer . alexander , based on his experience with sissoi veliky , persuaded the ntc to reinforce rostislav 's rudder frame and supervised installation of a backup control post deep under the conning tower . in 1903 alexander was promoted to rear admiral and returned to his ship as a squadron commander . rostislav served as the junior flagship of the black sea fleet until september 1912 .","{'squadron', 'persuaded', 'argument', 'rostislav', 'ntc', 'senior'}","{'conning tower', 'squadron', 'contractors', 'flagship', 'rudder', 'diplomatic', 'shipyards', 'reinforce', 'interfered', 'alterations'}",0.16666666666666666,0.1,0.125,"persuaded — convinced or influenced someone to do something through reasoning, argument, or entreaty.
senior — older or higher in rank than others; having authority over others.
squadron — a group of military aircraft operating together for a specific purpose.
NTC — abbreviation for Naval Technical Committee.
Rostislav — name of a ship."
"alice in chains has received nine grammy nominations . their first nomination was for the song "" man in the box "" , nominated for best hard rock performance in 1992 . the album dirt was nominated in the same category in 1993 . six more songs were nominated between 1995 and 2011 , and the album the devil put dinosaurs here was nominated for best engineered album , non classical in 2014 .","{'created', 'skilled', 'engineered', 'performance', 'hard rock', 'h', 'devised', 'dinosaurs', 'manufactured'}","{'dirt', 'here', 'nominations', 'alice in chains', 'engineered', 'nomination', 'performance', 'non-classical', 'devil', 'hard rock', 'grammy', 'dinosaurs', 'non classical'}",0.4444444444444444,0.3333333333333333,0.380952380952381,"engineered — designed or constructed by an engineer; skillfully made or built according to a plan or design.
devised — invented, created, or contrived something new or original.
manufactured — produced on a large scale using machinery.
dinosaurs — extinct reptiles that lived millions of years ago.
hard rock — type of music characterized by heavy guitar riffs and powerful drums.
performance — act of doing or producing something successfully.
skilled — having knowledge or ability in a particular field.
H"
"all observation involves both perception and cognition . that is , one does not make an observation passively , but rather is actively engaged in distinguishing the phenomenon being observed from surrounding sensory data . therefore , observations are affected by one 's underlying understanding of the way in which the world functions , and that understanding may influence what is perceived , noticed , or deemed worthy of consideration . in this sense , it can be argued that all observation is theory @-@ laden .","{'influential', 'opinions', 'etc.'}","{'surrounding', 'underlying', 'perceived', 'worthy', 'noticed', 'deemed', 'phenomenon', 'theory', 'laden', 'observation', 'passively', 'cognition'}",0.0,0.0,0.0,"influential — having a powerful effect on someone or something; able to change or control behavior, opinions, etc."
all songs written and composed by super furry animals . lead vocals by gruff rhys unless otherwise stated ..,"{'excellent', 'super', 'superior'}","{'fur', 'otherwise', 'unless', 'vocals', 'stated', 'gruff', 'composed', 'animals', 'rhys', 'written', 'furry'}",0.0,0.0,0.0,"super — exceeding ordinary or normal standards; excellent, superior — used to modify adjectives or nouns to indicate a higher degree of quality or intensity."
"all the first units to arrive could do was trade men and ground for time , falling back to the pusan perimeter . during the summer of 1950 , macarthur exhibited wild mood swings , at one moment saying he could defeat the north koreans with "" one hand tied behind his back "" , and at other moments being in the words of his staff "" a dejected , completely despondent man "" who talked about abandoning south korea . by the end of august , the crisis subsided . north korean attacks on the perimeter had tapered off . while the north korean force numbered 88 @,@ 000 troops , lieutenant general walton walker 's eighth army now numbered 180 @,@ 000 , and he had more tanks and artillery pieces .",{'subsided'},"{'despondent', 'dejected', 'perimeter', 'artillery', 'exhibited', 'subsided', 'tapered off', 'mood swings', 'crisis', 'lieutenant general'}",1.0,0.1,0.18181818181818182,subsided — decreased or became less intense; calmed down or settled down.
"all three of the airframe proposals shared a number of features . as the cx @-@ hls needed to be able to be loaded from the front , a door had to be included where the cockpit usually was . all of the companies solved this problem by moving the cockpit above the cargo area ; douglas had a small "" pod "" just forward and above the wing , lockheed used a long "" spine "" running the length of the aircraft with the wing spar passing through it , while boeing blended the two , with a longer pod that ran from just behind the nose to just behind the wing . in 1965 lockheed 's aircraft design and general electric 's engine design were selected for the new c @-@ 5 galaxy transport , which was the largest military aircraft in the world at the time . the nose door and raised cockpit concepts would be carried over to the design of the 747 .","{'carriage', 'conveyed', 'transmitted', 'spa', 'spine', 'designed', 'cockpit', 'transportation.'}","{'pod', 'c @-@ 5', 'concept', '@-@', 'design', 'carried over', 'blended', 'spar', 'spine', 'raised cockpit', 'nose door', 'cx', 'galaxy transport', 'airframe', 'galaxy'}",0.125,0.06666666666666667,0.08695652173913045,"carriage — the act or process of being conveyed, especially on an animal or vehicle; transportation.
conveyed — moved or transmitted from one place to another.
cockpit — the control cabin of an aircraft.
designed — planned out in detail before construction begins.
spa — shortened form of spine, referring to the central part of something.
spine — the backbone or main structure of something.
transmitted — sent across space or distance."
"almost there has been described by critics as being a worship and pop rock album . the album was noted as being stylistically similar to contemporary christian bands like ffh . in contrast to the band 's independent records , which had an "" organic "" feel , almost there adopts a more radio @-@ friendly musical style , although the rock style of the band 's independent albums does occasionally resurface . similarities were noted between the "" guitar nuances "" of scheuchzer and u2 's guitarist the edge .","{'rock style', 'schemechzer'}","{'resurface', 'stylistically', 'pop rock', 'contemporary', 'nuances', 'guitarist', 'critics', 'independent', 'radio @-@ friendly', 'radio-friendly', 'adopts', 'occasionally', 'worship'}",0.0,0.0,0.0,"schemechzer — referring to a member of the Christian band, FFH (For Today) or another person's name.
rock style — music genre characterized by strong beats and guitars."
"along with the conventional rock band instrumentation , pink floyd added prominent synthesizers to their sound . for example , the band experimented with an ems vcs 3 on "" brain damage "" and "" any colour you like "" , and a synthi a on "" time "" and "" on the run "" . they also devised and recorded unconventional sounds , such as an assistant engineer running around the studio 's echo chamber ( during "" on the run "" ) , and a specially treated bass drum made to simulate a human heartbeat ( during "" speak to me "" , "" on the run "" , "" time "" and "" eclipse "" ) . this heartbeat is most prominent as the intro and the outro to the album , but it can also be heard sporadically on "" time "" and "" on the run "" . the assorted clocks ticking then chiming simultaneously at the start of "" time "" , accompanied by a series of rototoms , were initially created as a quadraphonic test by parsons .","{'ems', 'parsons', 'roto toms', 'ems vcs-3', 'vcs-3'}","{'quadraphonic', 'unconventional', 'rototoms', 'assorted', 'sporadically', 'prominent', 'intro', 'conventional', 'synthesizers', 'simulate', 'outro', 'experimented', 'echo chamber'}",0.0,0.0,0.0,"EMS VCS-3 — A vintage analogue synthesizer developed by Electronic Music Synthesizers Ltd.
EMS — Electronic Music Synthesizers Limited, a British company that produced electronic musical instruments.
VCS-3 — An early modular synthesizer system developed by EMS.
Roto Toms — Percussion drums with tunable heads, often used in rock music.
Parsons — Likely referring to Nick Parsons, a recording engineer who worked with Pink Floyd."
"already , general douglas macarthur had also been ordered to australia . brett received warning from the chief of staff , general george marshall that macarthur would call on him to send a flight of long @-@ range bombers to mindanao . the only aircraft that brett could find were b @-@ 17s of the 19th bombardment group which had seen hard service in the philippines and the dutch east indies campaigns . brett approached vice admiral herbert f. leary , the commander of naval forces in the anzac area , to ask for a loan of some of twelve newly arrived navy b @-@ 17s . leary refused .","{'vice admiral', 'naval forces', 'rear admiral', 'personnel'}","{'ordered', 'chief of staff', 'naval forces', 'anzac', 'refused', 'bombers', 'loan', 'mindanao', 'bombardment'}",0.25,0.1111111111111111,0.15384615384615383,"naval forces — military personnel or equipment used at sea, especially ships and airplanes.
vice admiral — a high rank in the navy above rear admiral but below admiral.
personnel — people who work for an organization.
rear admiral — a senior officer in the navy.
personnel — individuals employed by an institution or company."
"also , a baby born with a cleft palate was unwanted by his mother so he was kept at the hull house for six weeks after an operation . in another case , a woman was about to give birth to an illegitimate baby , so none of the irish matrons would touch it . addams and starr stepped in and delivered this helpless little one . finally , a female italian immigrant was so thrilled about fresh roses at one of the hull house receptions that she insisted they had come from italy . she had never seen anything as beautiful in america despite the fact that she lived within ten blocks of a florist shop .","{'unwanted', 'undesirable.'}","{'illegitimate', 'receptions', 'matrons', 'cleft palate', 'immigrant', 'addams', 'starr', 'thrilled', 'hull house', 'florist shop'}",0.0,0.0,0.0,unwanted — not desired or sought-after; undesirable.
"also constructed at this time was a short connector named ridge road junction , which carried us 104 between the west end of the super two and ridge road just west of the wayne county line . us 104 was realigned in the late 1950s to follow a new section of the sea breeze expressway between ridge road and empire boulevard . the route was altered again c . 1971 to follow a newly built expressway between ny 47 ( now ny 590 ) in irondequoit and five mile line road in webster . the former alignment of us 104 from ny 47 around the southern tip of irondequoit bay to five mile line road was redesignated as ny 404 .","{'usa.', 'junction', 'wayne county', 'alignment', 'designation', 'super two'}","{'junction', 'connector', 'irondequoit', 'expressway', 'alignment', 'redesignated', 'realigned', 'empire boulevard', 'super two'}",0.5,0.3333333333333333,0.4,"designation — official or formal identification; classification or labeling something for specific purposes or functions.
alignment — arrangement or positioning in a straight line or parallel direction.
junction — point where two or more roads meet or cross each other.
super two — a type of highway that has two lanes in each direction separated by a median strip.
wayne county — one of the counties located in New York, USA."
"also known to be present are various steroids , namely ergosterol , episterol , fecosterol , and lichesterol .","{'sterols', 'fecosterol', 'algae', 'yeast', 'lichesterol', 'ergosterol'}","{'steroids', 'fecosterol', 'episterol', 'lichesterol', 'ergosterol'}",0.5,0.6,0.5454545454545454,"ergosterol — a type of steroid found in fungi, algae, yeast, and some bacteria that can be converted into vitamin D2 by ultraviolet light exposure or chemical treatment.
sterols — compounds similar in structure to cholesterol but containing an additional methyl group at position 10 on the carbon ring system.
fecosterol — a specific form of sterol found primarily in insects and arthropods.
lichesterol — a naturally occurring sterol found in"
"although aria of sorrow sold poorly in japan , selling only 27 @,@ 000 units nearly one month after its release , it was commercially successful in the united states , with more than 158 @,@ 000 units sold in the three months following its release . aria of sorrow received praise from several video game publications , with some considering it one of the best games in the castlevania series since symphony of the night . konami released a sequel to aria of sorrow , titled castlevania : dawn of sorrow , on august 25 , 2005 in japan . it incorporated many elements from its predecessor , including the "" tactical soul "" system . aria of sorrow was re @-@ released as part of konami 's "" konami the best "" line on november 3 , 2005 in japan , and in a dual pack with harmony of dissonance , titled the castlevania double pack , in north america on january 11 , 2006 .","{'unity', 'commercial', 'united', 'integrated.', 'incorporated', 'tactical', 'praised', 'symphony'}","{'dissonance', 'sequel', 'commercially', 're-released', 'units', 'elements', 'predecessor', 'incorporated', 'symphony', 'publications', 'dual pack', 'unit', 'tactical'}",0.375,0.25,0.3,"incorporated — included or combined into something else; integrated.
incorporated — brought together for a common purpose or goal.
commercial — relating to commerce or trade.
praised — expressed approval or admiration for someone or something.
symphony — an extended musical composition usually having multiple movements or sections.
tactical — involving careful thought about how to achieve your goals.
unity — the state of being joined as a whole.
united — joined or combined into a single entity."
"although greece had been granted a spot in the 2008 final because of its seventh place finish at the eurovision song contest 2007 , it had to compete in a semi @-@ final for the first time since 2004 because of new rules put into effect by the european broadcasting union ( ebu ) . in previous years , countries that received a top 10 placing were automatically granted a spot in the next year 's final without having to compete in a semi @-@ final , but for 2008 , the ebu changed the automatic qualification regulations so that all countries except the "" big 4 "" ( france , germany , spain , and the united kingdom ) and host country , would have to pass through one of two semi @-@ finals . the ebu split up countries with a friendly voting history into separate semi @-@ finals , to give a better chance for other countries to win . greece and cyprus had often been accused of favoring each other , with each awarding the other the maximum number of points ( twelve ) at the previous contest . on january 28 , 2008 , the ebu held a special draw which determined that greece would be in semi @-@ final 1 held on may 20 , 2008 in belgrade , serbia ; cyprus was subsequently placed in the second semi @-@ final .","{'semi-final', 'friendly voting history', 'automatic qualification', 'eurovision song contest'}","{'friendly', 'belgrade', 'subsequently', 'accused', 'automatic qualification', 'spot', 'semi-final', '@-@', 'maximum number of points', 'favoring', 'automatic', 'draw', 'regulations', 'broadcasting union', 'voting history', 'eurovision', 'qualification'}",0.5,0.11764705882352941,0.19047619047619047,"semi-final — a preliminary round or match before reaching the final stage of competition.
eurovision song contest — an annual international singing competition among European countries.
automatic qualification — the act of being qualified based on past performance, rather than competing again.
friendly voting history — a pattern of consistently giving high scores to specific countries."
"although he intended to stay faithful to the look of the characters in the comic , snyder wanted nite owl to look scarier and ozymandias to possess authentic egyptian attire and artifacts . ultimately , oyzmandias , nite owl and silk spectre changed most from the comic , as snyder felt "" audiences might not appreciate the naiveté of the original costumes . so , there has been some effort to give them a [ ... ] modern look — and not modern in the sense of 2007 , but modern in terms of the superhero aesthetic "" . costume designer michael wilkinson added that the costumes had to look realistic and protective , and that the nite owl costume should reflect dan 's interest in aerodynamics . the chain mail in his costume resemble a bird 's feathers .","{'silkspectre', 'nite owl', 'attire'}","{'scarier', 'reflect', 'possess', 'aesthetic', 'effort', 'aerodynamics', 'authentic', 'chain mail', 'naiveté'}",0.0,0.0,0.0,"attire — clothing worn for special occasions or by particular groups of people, especially formal clothes; dress or appearance considered appropriate for a particular occasion or group of people.
attire — clothing worn for special occasions or by particular groups of people, especially formal clothes; dress or appearance considered appropriate for a particular occasion or group of people.
nite owl — a fictional character known for its nocturnal activities.
silkspectre — a female superhero character who is part of a team of crime-fighting heroes.
"
"although he is almost forgotten in his home state of massachusetts , clark remains a national figure in japan . his influences on the agricultural and economic development of hokkaido were significant , but it is primarily his cultural message that still resonates today . according to historian fumiko fujita , clark 's phrase , "" boys , be ambitious ! "" is "" almost immortal in japan . "" the japanese national tourism organization describes the slogan as "" famous "" and often quoted throughout the country .","{'development', 'immortal', 'ambition', 'influential', 'resonate', 'achievement'}","{'agricultural', 'resonates', 'famous', 'quoted', 'organization', 'immortal', 'influences', 'ambitious', 'historian', 'significant', 'slogan'}",0.16666666666666666,0.09090909090909091,0.11764705882352942,"immortal — living forever; never dying or ending.
ambition — strong desire for success, achievement, or power.
influential — having the ability to affect or change something or someone.
development — growth or progress toward a more advanced or complex stage.
resonate — produce an echoing sound or effect."
"although he was not successful , he was chosen for the second test of the four @-@ match series between england and west indies , played in trinidad . he took one wicket and scored 20 and 5 in the match . this was his final test match . in three test matches , he scored 79 runs at an average of 13 @. @ 16 and took 3 wickets at 61 @.","{'skill', 'test'}","{'average', 'wickets', 'successful', 'chosen', 'wicket'}",0.0,0.0,0.0,"test — a formal examination or assessment to determine knowledge, skill, or ability in a particular subject area; a competitive game or contest between two teams or individuals to decide who is better overall."
"although hiki was a small tropical cyclone and bypassed hawaii , heavy rainfall and strong winds were observed throughout the islands . at the kanalohuluhulu ranger station on kauai , 52 inches ( 1 @,@ 300 mm ) of precipitation was observed , which was the highest total associated with a tropical cyclone on record in the united states . the waimea river overflowed , causing more than 200 residents to flee their homes . many streets and several hundred acres of sugar cane fields were flooded . about $ 200 @,@ 000 ( 1950 usd ) in damage was reported due to flooding in the city of waimea .","{'ranger stations', 'kanalohuluhulu', 'precipitation', 'floods.', 'overflows'}","{'usd', 'bypassed', 'tropical cyclone', 'overflowed', 'flooding', 'flee', 'precipitation', 'acres', 'waimea', 'sugar cane'}",0.2,0.1,0.13333333333333333,"precipitation — water falling from clouds in the form of rain or snow.
overflows — exceeds its capacity; floods.
kanalohuluhulu — a location name, likely referring to a specific place in Hawaii.
ranger stations — facilities where park rangers work and operate."
"although it did not name this episode its "" worst tv show of the week , "" the parents television council filed an indecency complaint about "" business guy "" two days after its airdate , citing the lapdance sequence as a possible violation of federal law regarding broadcast decency .",{'complaint'},"{'broadcast', 'airdate', 'episode', 'federal', 'indecency', 'lapdance', 'significance', 'violation', 'decency', 'citing', 'complaint'}",1.0,0.09090909090909091,0.16666666666666669,"complaint — expression of dissatisfaction or grievance, especially to an official body or person."
"although kasuya did not explicitly define the mode of nutrition for a. coccinea , most phallaceae species are suspected to be saprobic — decomposers of wood and plant organic matter . the fruit bodies of a. coccinea , known only from temperate regions of japan ( tochigi prefecture ) , grow solitarily or in groups on rice husks , straw , or dung . they are found from summer to autumn .","{'insulation', 'tochigi prefecture', 'straw', 'saprobic', 'nutritional', 'phallaceae', 'nourishment'}","{'saprobiс', 'prefecture', 'kasuya', 'husks', 'mode', 'saprobic', 'coccinea', 'solitarily', 'temperate', 'phallaceae', 'nutrition'}",0.2857142857142857,0.18181818181818182,0.2222222222222222,"nutritional — related to food, nourishment, or dietary requirements.
phallaceae — a family of fungi that includes mushrooms like Amanita coccinea.
saprobic — living off decaying organic material.
straw — dry stalks of cereal plants used for various purposes such as bedding, insulation, or fuel.
tochigi prefecture — one of Japan's 47 administrative districts located north of Tokyo."
"although most of the judging had been completed before the fire , suggestions at the time that the committee could use what they had learned from the entrants to propose a new competition with greater clarity as to the requirements led to naught : a 1925 letter to the then premier john gunn reveals that there was little to be learned from the competition , as the assessors had found that none of the designs were suitable .",{'suitable'},"{'completed', 'committee', 'proposed', 'entrants', 'assessors', 'clarify', 'judging', 'reveals', 'premier', 'suitable', 'naught', 'requirements'}",1.0,0.08333333333333333,0.15384615384615385,suitable — appropriate or fitting for a particular purpose.
"although not scheduled to play , payne still attended the first session and listened as another flautist played his parts . to this day , nobody recalls the name of this flautist , nor has he been identified on any of the surviving documentation ; he does play flute on the released takes of "" beside you "" and "" cyprus avenue "" but is not included in the album credits . when morrison tried to squeeze in one last tune during the end of that first session , payne spoke up and pleaded to merenstein to permit him to participate . payne was then allowed to play on what became the title track of the album – "" astral weeks "" – the fourth song produced from this initial session . for the remainder of the sessions , john payne played on every song .","{'merenstein', 'presumably', 'participated', 'remaining', 'squeezed in', 'cyprus avenue'}","{'participate', 'astral', 'permit', 'flautist', 'credits', 'pleaded', 'squeeze in', 'documentation', 'remainder', 'flute'}",0.0,0.0,0.0,"remaining — continuing or staying behind after others have left or gone away.
Cyprus Avenue — a street in Belfast, Northern Ireland.
Merenstein — likely refers to Roy Merenstein, an American record producer.
participated — took part in; joined in an activity or event.
presumably — probably; believed to be true based on available evidence.
squeezed in — managed to fit something into a limited space or time frame."
"although quake movie critics found shortcomings in diary of a camper , they mentioned positive aspects , including the work 's novelty ; however , their final ratings varied . matthews wrote that "" the camera work was very nice and never once screwed up "" , and lum gave the film "" a perfect 10 for innovation / originality because [ it ] started the quake movie craze "" . of the major quake movie review sites , only the cineplex gave diary a good rating overall , 7 @. @ 5 out of 10 . matthews and coates rated the film 20 % , and 2 out of 10 , respectively .","{'unusual', 'originality'}","{'overall', 'cineplex', 'craze', 'shortcomings', 'originality', 'varied', 'novelty', 'respectively', 'innovation', 'ratings'}",0.5,0.1,0.16666666666666669,"originality — the quality or state of being new, unusual, or creative; not copied from something else."
"although she resumes her work as batgirl one year after recovering her mobility , she continues to suffer from posttraumatic stress disorder , causing her to hesitate in battle when exposed to gunfire that could result in receiving new spinal damage . the character also exhibits survivor guilt due to the fact she has made a full recovery from her paralysis while others have not . in a september 2011 interview , gail simone stated , "" i 'm enjoying writing batgirl at this stage in her life . she 's younger , she doesn 't know everything , she 's been immersed in school and her life @-@ plan . events conspire to change that plan , and she 's nervous about that .","{'immersed', 'exposure', 'vulnerability.', 'attack', 'etc.', 'trauma', 'immersion', 'survivor guilt'}","{'hesitate', 'immersed', 'guilt', 'disorder', 'conspire', 'spinal', 'resumes', 'survivor', 'posttraumatic', 'exhibits'}",0.125,0.1,0.11111111111111112,"survivor guilt — feelings of guilt experienced by someone who feels they should have died instead of others who did not survive a traumatic event.
immersion — complete absorption or involvement in something.
exposure — the condition of being open to view, attack, etc.; vulnerability.
immersed — deeply involved or absorbed in something.
trauma — emotional shock and suffering caused by an event or experience."
"although the colts ' rushing defense looked extremely weak during the season , it ended up being a key factor on their road to the super bowl . first , indianapolis defeated the kansas city chiefs 23 – 8 , holding chiefs running back larry johnson ( who rushed for 1 @,@ 789 yards during the season ) to just 32 yards on 13 carries . then , they defeated the baltimore ravens 15 – 6 , winning on a playoff record @-@ tying five field goals by vinatieri and holding running back jamal lewis ( who rushed for 1 @,@ 132 yards during the season ) to just 53 yards .",{'ravens'},"{'season', 'carries', 'colts', 'vinatieri', 'field goals', 'jamal lewis', 'record', 'playoff', 'yards', 'ravens', 'defeated', 'rushing', 'chiefs'}",1.0,0.07692307692307693,0.14285714285714288,Ravens — refers to the Baltimore Ravens football team or its mascot.
"although the danton @-@ class battleships were a significant improvement from the preceding liberté class , especially with the 3 @,@ 000 @-@ ton displacement increase , they were outclassed by the advent of the dreadnought well before they were completed . this , combined with other poor traits , including the great weight in coal they had to carry , made them rather unsuccessful ships , though their numerous rapid @-@ firing guns were of some use in the mediterranean .","{'dreadnought', 'danton', 'mediterannean'}","{'traits', 'advent', 'unsuccessful', 'dreadnought', 'displacement', 'coal', 'outclassed', 'preceding', 'rapid-firing', 'battleships', 'mediterranean'}",0.3333333333333333,0.09090909090909091,0.14285714285714288,"Dreadnought — a type of heavily armed warship that was revolutionary at the time it was introduced due to its heavy armament and armor.
Danton — referring to the French Revolution figure who led the Committee of Public Safety during the Reign of Terror.
Mediterannean — relating to or situated near the Mediterranean Sea."
"although the iww was built on the basis of uniting workers of industry , a rift began between the union and the socialist party . it started when the electoral wing of the socialist party , led by victor berger and morris hillquit , became irritated with speeches by haywood . in december 1911 , haywood told a lower east side audience at new york 's cooper union that parliamentary socialists were "" step @-@ at @-@ a @-@ time people whose every step is just a little shorter than the preceding step . "" it was better , haywood said , to "" elect the superintendent of some branch of industry , than to elect some congressman to the united states congress . "" in response , hillquit attacked the iww as "" purely anarchistic ... ""","{'representatives', 'rift', 'superintendent', 'electoral', 'parliamentary'}","{'congressman', 'audience', 'cooper union', 'rift', 'iww', 'electoral', 'anarchistic', 'parliamentary', 'superintendent', 'preceding', 'socialists'}",0.8,0.36363636363636365,0.5000000000000001,"electoral — related to elections or voting for representatives in government.
parliamentary — relating to a legislative body, especially one where members are elected by voters.
representatives — individuals chosen to act or speak on behalf of others.
superintendent — a person who manages or oversees something.
rift — a serious disagreement or break in friendship or alliance."
"although the lifehouse concept was abandoned , scraps of the project remained in the final album , including the use of synthesizers and computers . an early concept for lifehouse featured the feeding of personal data from audience members into the controller of an early analogue synthesizer to create a "" universal chord "" that would have ended the proposed film . abandoning lifehouse gave the group extra freedom due to the absence of an overriding musical theme or storyline ( which had been the basis of tommy ) . this allowed the band to concentrate on maximising the impact of individual tracks , and providing a unifying sound for them .","{'universal chord', 'concept', 'scrapped', 'synthesizers'}","{'abandoned', 'analogue', 'scraps', 'unifying', 'chord', 'maximising', 'controller', 'synthesizers', 'proposed', 'overriding', 'impact', 'universal'}",0.25,0.08333333333333333,0.125,"concept — a general idea of what something is like, especially when thought about carefully and in detail; a plan or design for doing something new or different.
synthesizers — electronic musical instruments capable of generating sounds by combining multiple waveforms.
scrapped — rejected or discarded after careful consideration.
universal chord — a specific combination of notes used to symbolize unity or harmony."
"although the lynching was supported by many waco residents , it was condemned by newspapers around the united states . the national association for the advancement of colored people ( naacp ) hired elisabeth freeman to investigate ; she conducted a detailed probe in waco , despite the reluctance of many residents to speak about the event . after receiving freeman 's report on the lynching , naacp co @-@ founder and editor w. e. b. du bois published an in @-@ depth report featuring photographs of washington 's charred body in the crisis , and the naacp featured his death in their anti @-@ lynching campaign . although waco had been regarded as a modern , progressive city , the lynching demonstrated that it still tolerated racial violence ; the event was nicknamed the "" waco horror "" . the city subsequently gained a reputation for racism , but city leaders prevented violence on several occasions in subsequent decades .","{'lynched', 'usa.', 'photograph', 'horrified', 'reluctant', 'waco'}","{'founder', 'subsequently', 'charred', 'racism', 'probe', 'condemned', 'reluctance', 'reputation', 'in-depth', 'lynching'}",0.0,0.0,0.0,"horrified — filled with intense shock or fear; shocked to the core.
photograph — image captured through light by means of a camera.
reluctant — unwilling or hesitant to do something.
lynched — hanged, especially illegally by mob action.
waco — a city located in Texas, USA."
"alvarado entered malacatán unopposed to find it occupied only by the sick and the elderly . messengers from the community 's leaders arrived from the hills and offered their unconditional surrender , which was accepted by alvarado . the spanish army rested for a few days , then continued onwards to huehuetenango only to find it deserted . kayb 'il b 'alam had received news of the spanish advance and had withdrawn to his fortress at zaculeu . alvarado sent a message to zaculeu proposing terms for the peaceful surrender of the mam king , who chose not to answer .","{'proposal', 'proposed', 'surrender', 'occupation', 'suggestion'}","{'alvarado', 'deserted', 'proposing', 'fortress', 'unconditional', 'messengers', 'unopposed', 'huehuetenango', 'malacatán', 'surrender'}",0.2,0.1,0.13333333333333333,"proposed — suggested or put forward an idea or plan for consideration or discussion.
occupation — the action of taking control of something, especially during warfare.
surrender — give up power or authority over something without resistance.
proposal — a formal offer made in writing or speech.
suggestion — a thought or idea that is presented as being useful or beneficial."
american comedy awards ( 2001 ) funniest motion picture ( lost to best in show ),{'best in show'},"{'best in show', 'comedy', 'funniest', 'motion picture', 'lost to'}",1.0,0.2,0.33333333333333337,"best in show — a term used to describe the overall winner of a competition or event, often referring to an individual or group that excelled in every aspect of the contest."
"american troops , on the other hand , still had work to do . alerted to general clinton 's raids on the hudson , most of the army marched south toward albany on october 18 , while other detachments accompanied the "" convention army "" east . burgoyne and riedesel became guests of general schuyler , who had come north from albany to witness the surrender . burgoyne was allowed to return to england on parole in may 1778 , where he spent the next two years defending his actions in parliament and the press . he was eventually exchanged for more than 1 @,@ 000 american prisoners .",{'parole'},"{'burgoyne', 'exchange', 'raids', 'convention', 'defending', 'parole', 'detachment', 'press', 'parliament', 'riedesel', 'detain', 'surrender', 'schuyler'}",1.0,0.07692307692307693,0.14285714285714288,"parole — a conditional release granted before completion of a prison term, typically used when an offender agrees to certain conditions or restrictions during that time."
"among its first exhibitions at the wrigley building was the first major united states show ( seventeen sculptures , nineteen drawings and a painting ) of brâncuși . the show was installed by marcel duchamp . rue carpenter died on december 7 , 1931 , and mrs. charles goodspeed was elected president in 1932 . the club moved to more spacious accommodations at the wrigley building in 1936 . "" bobsy "" goodspeed served as president until 1940 .","{'duchamp', 'sculptures', 'wrigley building', 'metal', 'etc.', 'goodspeed', 'wood', 'accommodations'}","{'president', 'sculptures', 'club', 'drawings', 'serviced', 'elected', 'spacious', 'installed', 'accommodations', 'exhibitions'}",0.25,0.2,0.22222222222222224,"accommodations — facilities or services provided for people staying temporarily, such as hotels or apartments.
sculptures — three-dimensional works of art made from various materials like stone, wood, metal, etc.
duchamp — referring to Marcel Duchamp, a famous artist known for his conceptual artworks.
wrigley building — a specific location or structure where events take place.
goodspeed — a surname, likely referring to Charles Goodspeed mentioned in the passage."
"an ' he 'p the pore an ' needy ones ' at clusters all about ,",{'clusters'},"{'clusters', 'about', 'pore', 'needy'}",1.0,0.25,0.4,clusters — groups or collections of similar things arranged closely together or in a bunch or cluster.
"an american request for halban to come to new york to discuss heavy water with fermi and urey was turned down by the british , and the americans brought cooperation to a standstill . by june 1943 work at the montreal lab had come to a halt . morale was low and the canadian government proposed cancelling the project . the british government seriously considered going it alone on developing nuclear weapons , despite the cost and the expected length of the project . in august 1943 , the prime minister of canada , mackenzie king , hosted the quebec conference , at which winston churchill and franklin d. roosevelt came together , and agreed to resume cooperation .","{'resumed', 'urey', 'fermi', 'cooperate', 'cancelled'}","{'halban', 'mackenzie king', 'quebec conference', 'morale', 'urey', 'fermi', 'resumed cooperation', 'going it alone'}",0.4,0.25,0.3076923076923077,"resumed — started again after stopping or interrupting; continued doing something that has been stopped temporarily.
cooperate — work jointly with others towards a common goal.
cancelled — ended or discontinued before completion.
fermi — Enrico Fermi, Italian-American physicist known for his work on nuclear reactions.
urey — Harlow Curtis Urey, American chemist who won the Nobel Prize in Chemistry in 1934 for discoveries related to isotopes."
